name,country,entity_type,iso,region,state,raw_commitment,ghg_reduction_target_type,percent_reduction,target_year,baseline_year,data_source
"Sarasota, FL",United States of America,City,USA,North America, FL,100% community-wide energy provided from renewable sources by 2045,GHG emission reduction target:Community,,2045,,ClimateMayors
"Seattle, WA",United States of America,City,USA,North America, WA,Carbon neutral by 2050,GHG emission reduction target:Community,100,2050,,ClimateMayors
"Seattle, WA",United States of America,City,USA,North America, WA,58% reduction in GHG emissions by 2030 from 2008 baseline,GHG emission reduction target:Community,58,2030,2008,ClimateMayors
"Somerville, MA",United States of America,City,USA,North America, MA,Carbon neutrality for community by 2050.,GHG emission reduction target:Community,100,2050,,ClimateMayors
"Somerville, MA",United States of America,City,USA,North America, MA,"As a Massachusetts Green Community, 20% municipal energy use reduction of 2011 levels by 2017 ",GHG emission reduction target:Local Government,20,2017,2011,ClimateMayors
"Somerville, MA",United States of America,City,USA,North America, MA,"50% of all new trips will be by transit, walking or biking by 2030.",Energy Savings,,2030,,ClimateMayors
"Sonoma, CA",United States of America,City,USA,North America, CA,Reduce GHG emissions by 25% (compared to 1990 levels) by 2020,GHG emission reduction target:Community,25,2020,1990,ClimateMayors
"Sonoma, CA",United States of America,City,USA,North America, CA,"Reduce GHG emissions by 40% (compared to 1990) by 2030, and by 80% by 2050 ",GHG emission reduction target:Community,40,2030,1990,ClimateMayors
"Sonoma, CA",United States of America,City,USA,North America, CA,"Reduce GHG emissions by 40% (compared to 1990) by 2030, and by 80% by 2050 ",GHG emission reduction target:Community,80,2050,1990,ClimateMayors
"Tacoma, WA",United States of America,City,USA,North America, WA,"40% below 1990 level by 2020, 80% below by 2050",GHG emission reduction target:Community,40,2020,1990,ClimateMayors
"Tacoma, WA",United States of America,City,USA,North America, WA,"40% below 1990 level by 2020, 80% below by 2050",GHG emission reduction target:Community,80,2050,1990,ClimateMayors
"Washington, DC",United States of America,City,USA,North America, DC,"Committed to 50% by 2032, 80% by 2050 below 2006 levels and we are a member of the Carbon Neutral Cities Alliance. ",GHG emission reduction target:Community,50,2032,2006,ClimateMayors
"Washington, DC",United States of America,City,USA,North America, DC,"Committed to 50% by 2032, 80% by 2050 below 2006 levels and we are a member of the Carbon Neutral Cities Alliance. ",GHG emission reduction target:Community,80,2050,2006,ClimateMayors
"Washington, DC",United States of America,City,USA,North America, DC,Sustainable DC Plan adopted in 2013 with targets to cut energy use 50% and expand the use of renewable energy to 50% by 2032. ,Energy Savings,50,2032,,ClimateMayors
"Washington, DC",United States of America,City,USA,North America, DC,Sustainable DC Plan also sets a target for new buildings to meet net –zero energy use standards by 2032. ,Renewable Energy,,2032,,ClimateMayors
"West Palm Beach, FL",United States of America,City,USA,North America, FL,Net Zero community-wide GHGs emissions by 2050,GHG emission reduction target:Community,,2050,,ClimateMayors
"West Sacramento, CA",United States of America,City,USA,North America, CA,30% below “business as usual” emissions in 2005 levels by 2020; and,GHG emission reduction target:Community,30,2020,2005,ClimateMayors
"West Sacramento, CA",United States of America,City,USA,North America, CA,30% below “business as usual” emissions levels by 2030.,GHG emission reduction target:Community,30,2030,,ClimateMayors
"West Sacramento, CA",United States of America,City,USA,North America, CA,30% below current 2005 emissions levels by 2020; and,GHG emission reduction target:Local Government,30,2020,2005,ClimateMayors
"West Sacramento, CA",United States of America,City,USA,North America, CA,40% below 1990 emissions levels by 2030 consistent with the statewide emissions target established under Senate Bill 32. ,GHG emission reduction target:Local Government,40,2030,1990,ClimateMayors
"Cooperstown, NY",United States of America,City,USA,North America, NY,,,,,,ClimateMayors
